danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,name,artist,genre
0.822,0.656,5,-6.159,0,0.11,0.254,0.0,0.329,0.734,94.039,2OikDCslmF1Y04Szgbc8Hl,188320,4,"Sol, Playa Y Arena","Tito ""El Bambino""",Reggaeton
0.792,0.841,9,-6.76,1,0.184,0.266,0.0,0.237,0.925,80.018,6iFgpfqV152RVIXSNfQuhj,186619,4,Flow Violento,Arcangel,Reggaeton
0.735,0.809,0,-4.238,0,0.119,0.29,0.0,0.124,0.875,93.126,1JV7GONwi6qMLb9J7kcSTV,178040,4,Dembow,Wisin & Yandel,Reggaeton
0.765,0.768,2,-4.959,1,0.0742,0.18,0.0,0.0794,0.574,94.243,16KDdey3vnSBWwqUZoe1cT,291658,4,Quitate Tu Pa Ponerme Yo,Eddie Dee,Reggaeton
0.806,0.871,10,-4.109,0,0.0568,0.0247,1.79e-06,0.288,0.736,94.019,58smrlsnspzIZKaiSJEJ6y,186213,4,Alocate,Zion,Reggaeton
0.842,0.681,4,-8.149,0,0.0544,0.0115,2.65e-06,0.113,0.238,96.017,15PxHZffHMndHQjmzYuGUv,232587,4,Hay Algo en Ti,Luny Tunes,Reggaeton
0.853,0.506,7,-11.452,1,0.213,0.006,2.51e-05,0.0792,0.438,95.027,4RSl0KvbJI4aDzV9bOKAtm,251601,4,Si te Vas - The Remix,"Héctor ""El Father""",Reggaeton
0.818,0.738,1,-7.136,0,0.0669,0.229,0.0,0.323,0.33,95.007,5ZEh7PjppT52nuO7HA9eDI,292120,4,Es Mejor Olvidarlo,Zion & Lennox,Reggaeton
0.906,0.53,9,-6.108,0,0.0555,0.14,0.000204,0.102,0.793,111.017,2fxmV4oZNFCZGXgJ8tN9Jf,264212,4,Chica Virtual (feat. Arcangel),DJ Nelson,Reggaeton
0.75,0.694,9,-5.59,1,0.0591,0.0181,0.0,0.13,0.246,92.015,1JAUOaEPBabOwOEOkKCJtF,211520,4,Not Too Much,Don Omar,Reggaeton
0.717,0.636,6,-6.604,0,0.0356,0.263,0.0,0.328,0.675,89.978,534weu3DIwV9UELLTGanOC,249827,4,Regalame Una Noche,J Alvarez,Reggaeton
0.864,0.826,8,-5.64,0,0.209,0.251,3.85e-05,0.465,0.617,90.031,20Zj7TB00BDSp7KLUJaEvU,288288,4,Descara,Yomo,Reggaeton
0.787,0.813,10,-6.794,0,0.141,0.247,0.0,0.857,0.707,95.996,1ljnwB1bv0sXnUKrmx10Qy,212533,4,Mirame,Daddy Yankee,Reggaeton
0.753,0.65,10,-9.548,0,0.0471,0.0116,3.09e-06,0.109,0.639,93.999,4SarxFaP7ObsGVqqztIjTO,219133,4,Let's Go To My Crib,Voltio,Reggaeton
0.847,0.909,6,-3.696,0,0.0584,0.135,5.83e-06,0.216,0.868,95.013,2sz2I6oIk9BqC4Ow7KbdGY,173533,4,Quiero Saber,Ivy Queen,Reggaeton
0.741,0.735,3,-8.158,0,0.1,0.516,0.0,0.861,0.609,96.007,33y08bwbpU8Fn8KzBm5lAy,227853,4,Hola Bebe,"Héctor ""El Father""",Reggaeton
0.837,0.725,1,-3.908,0,0.044,0.014,0.00176,0.177,0.486,94.013,5mmh6YyxJeS34vAe4M447R,204280,4,Chica Ven Pa' Aca,Plan B,Reggaeton
0.66,0.793,9,-8.005,0,0.329,0.472,0.0,0.611,0.749,179.512,4n4CBlQVxxnU0MHGO5Mqv3,249680,4,Mayor que yo,Tonny Tun Tun,Reggaeton
0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,69Ej1xrGjOcHvIMtMKxK0G,204600,4,Dile,Don Omar,Reggaeton
0.862,0.593,6,-5.763,0,0.0498,0.0372,0.000527,0.752,0.511,112.004,4KDInmaLE3gg13xXfGFT49,172460,4,Tengo Tantas Ganas de Ti,Arcangel,Reggaeton
0.792,0.681,0,-8.846,1,0.253,0.281,0.0,0.22,0.4,94.971,53chAlZL168uo8eVAs2bdS,144187,4,Villana,Hector & Tito,Reggaeton
0.837,0.832,0,-7.103,1,0.0757,0.118,0.0,0.0974,0.614,95.038,3z3xLDfgUtO1wL6lt3Omk3,183947,4,Cojela Que Va Sin Jockey,Daddy Yankee,Reggaeton
0.627,0.798,8,-4.746,0,0.112,0.297,0.0,0.133,0.896,180.051,3fNnPoIaVT16aLZnswQdCV,208118,4,Yo Se Que Tu Quieres (feat. Ñengo Flow),Sammy & Falsetto,Reggaeton
